priority,course_name,city,county,zip,website,booking_software,golfnow_listed,contact_name,contact_title,contact_email,contact_phone,notes,source_url
HIGH,Golf Course,,Livingston,48169,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlXFJI4gR0TxyfugOCPk
HIGH,Cherry Creek Golf Club,,Macomb,48316,http://www.cherrycreekgolf.com/,Unknown Online Booking,NO,,,sales@cherrycreekgolf.com,586-254-7700,,https://www.google.com/maps/place/?q=place_id:ChIJf0h2FBHnJIgRTPuveGYdpH4
HIGH,Fern Hill Golf Club,,Macomb,48038,https://www.fernhillgc.com/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJUcJ27yTfJIgRHQllTJeq0Og
HIGH,Stony Creek Metropark Golf Course,,Oakland,48316,https://golf.metroparks.com/stony-creek/,Tee It Up,NO,,,sc.golf@metroparks.com,586-781-9166,,https://www.google.com/maps/place/?q=place_id:ChIJMbce6MLoJIgRKH747BXb0Ds
HIGH,One Eyed Jacks,,Macomb,48317,https://oneeyedjacksrestaurant.com/?utm_source=google,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJNwXFR37nJIgRsafztCzVfno
HIGH,Myth Public Golf Course & Banquet Center,,Oakland,48363,https://www.golfthemyth.com/,Tee It Up,NO,,,mythbanquets@vargogolf.com,248-693-7170,,https://www.google.com/maps/place/?q=place_id:ChIJk4YZ7IbuJIgRHejGeSkl2vg
HIGH,Bruce Hills Public Golf Course & Banquets,,Macomb,48065,https://golfbrucehills.com/,Tee It Up,NO,,,info@golfbrucehills.com,586-752-7244,,https://www.google.com/maps/place/?q=place_id:ChIJMek7sML6JIgRHxm0I5M3RPw
HIGH,Five Iron Golf,,Macomb,48315,https://fiveirongolf.com/locations/detroit-shelby-township/?utm_source=local&utm_medium=organic&utm_campaign=mi&utm_content=detroit-shelby,Manual / Phone Only,NO,,,shelby@fiveirongolf.com,(800) 513-5153,,https://www.google.com/maps/place/?q=place_id:ChIJo3nc1ATnJIgR38X-kEx0lZk
HIGH,Little Myth Par 3 Public Golf Course,,Oakland,48363,https://golfparthree.com/,Tee It Up,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJyaTqLyjsJIgRwX6ZMqmvpfE
HIGH,Premier Sports Simulators,,Macomb,48315,https://premiersportssimulators.com/,Unknown Online Booking,NO,,,info@premiersportssimulators.com,(810)499-2220,,https://www.google.com/maps/place/?q=place_id:ChIJy5ebLGPhJIgRUOVf2fD69S4
HIGH,"The Back Nine Golf | Shelby Twp, MI",,Macomb,48315,https://thebackninegolf.com/shelby-mi/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJXQuDNLXhJIgRudqg6q2cKKg
HIGH,Selfridge Golf Course,,Macomb,48045,https://detroit.armymwr.com/programs/sangb-golf-club-and-pro-shop,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ383WIXkhJYgRSf_8HTMdEy4
HIGH,Par 3 Golf,,Macomb,48045,https://golf.metroparks.com/lake-st-clair-par-3/,Tee It Up,NO,,,Joe.Hall@metroparks.com,586-463-4581,,https://www.google.com/maps/place/?q=place_id:ChIJObXv_e8jJYgRbuFN0Syy2rQ
HIGH,Macray Golf Simulator,,Macomb,48045,https://macray.com/golf/,Manual / Phone Only,NO,,,golf@macray.com,586-817-4154,,https://www.google.com/maps/place/?q=place_id:ChIJCbqBxDcjJYgRlF4EkYYItl0
HIGH,Selfridge AFB,,Macomb,48045,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJG_QEAAAhJYgRsLXUQyZ5dTQ
HIGH,Golf Galaxy,,Macomb,48038,https://stores.golfgalaxy.com/mi/clinton-township/3204/?seo=localpack,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ4_Y0d2reJIgRIYFSSQRRm6k
HIGH,"Canteen Golf & Billiards, Inc.",,Macomb,48038,https://www.canteengolf.com/,Manual / Phone Only,NO,,,wweeiihhuuaanngg@gmail.com,586-221-5400,,https://www.google.com/maps/place/?q=place_id:ChIJaQLx8ADfJIgR8xlbmXT66Dc
HIGH,X-Golf Shelby,,Macomb,48315,http://www.xgolfshelby.com/,Unknown Online Booking,NO,,,info@xgolfshelby.com,(586) 991-6190,,https://www.google.com/maps/place/?q=place_id:ChIJDaV38hLeJIgREttr0l6-Bmc
HIGH,Big Al's Greens & Grille,,Monroe,48166,https://bigalsgreensandgrille.com/,Manual / Phone Only,NO,,,bigalsgreensandgrille@gmail.com,(734) 586-7555,,https://www.google.com/maps/place/?q=place_id:ChIJ1xqx9VFrO4gRXNh5G6e5Hwg
HIGH,On The Dunes Sports,,Oakland,48390,http://www.onthedunessports.com/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJO7nDRSKlJIgRvQ8OAXXtwjc
HIGH,Bay Pointe Golf Club,,Oakland,48323,http://www.baypointegolfclub.com/,Manual / Phone Only,NO,,,info@baypointegolfclub.com,248-360-0600,,https://www.google.com/maps/place/?q=place_id:ChIJDYWOLb6kJIgRqGZPQg7kDCI
HIGH,Wabeek Club,,Oakland,48302,https://wabeekcc.com/,Manual / Phone Only,NO,,,info@wabeekcc.com,248-970-1100,,https://www.google.com/maps/place/?q=place_id:ChIJ7yW-MEe5JIgRuh0L-X5fmwo
HIGH,Beacon Hill Golf Club and Banquet Center,,Oakland,48382,http://www.beaconhillgolf.com/,Manual / Phone Only,NO,Times Evan Dennis,Director of Golf,chosen-sprite@2x.png,(248) 684-2200,,https://www.google.com/maps/place/?q=place_id:ChIJ--Q-mDahJIgREBQphEDWCJ4
HIGH,Westwynd Golf Course,,Oakland,48306,http://www.westwyndgolf.com/,Unknown Online Booking,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ679Yg4jrJIgRo-rdEjMRvOo
HIGH,Indian Springs Metropark Golf,,Oakland,48386,https://golf.metroparks.com/indian-springs/,Tee It Up,NO,,,Amy.Mizikow@metroparks.com,248-625-7870,,https://www.google.com/maps/place/?q=place_id:ChIJxTvbfsCYJIgRnocpAfcla7E
HIGH,Springfield Oaks Golf Course,,Oakland,48350,https://www.oakgov.com/community/oakland-county-parks/golf/springfield-oaks-golf-course,foreUP,NO,,,wrcwater@oakgov.com,(999) 999-9999,,https://www.google.com/maps/place/?q=place_id:ChIJ9Vi5L5eeJIgR-KMZ6jeNgIY
HIGH,White Lake Oaks Golf Course and Event Center,,Oakland,48386,https://www.oakgov.com/community/oakland-county-parks/golf/white-lake-oaks-golf-course,foreUP,NO,,,wrcwater@oakgov.com,(999) 999-9999,,https://www.google.com/maps/place/?q=place_id:ChIJESl5c-yiJIgRLSyrWYS-Tt8
HIGH,Franklin Golf Management,,Oakland,48348,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJX0LCm7GWJIgRBDnvPjgDKfo
HIGH,Teevolve,,Oakland,48329,https://teevolve.square.site/,Manual / Phone Only,NO,,,hi@mystore.com,248-599-9448,,https://www.google.com/maps/place/?q=place_id:ChIJ76WC8jSXJIgR3rFKKmMzLpA
HIGH,Modern Eagle,,Oakland,48390,https://www.moderneaglegolf.com/,Unknown Online Booking,NO,,,user@domain.com,(248) 291-9060,VERIFY: membership language detected,https://www.google.com/maps/place/?q=place_id:ChIJyzhbLy2lJIgR3qs0DL3cBjo
HIGH,Union Lake Golf Course,,Oakland,48382,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJLUR6D2OjJIgRqf3Gu0ExU38
HIGH,Trackman at Beacon Hill,,Oakland,48382,https://www.beaconhillgolf.com/indoor-golf/,Manual / Phone Only,NO,,,Beaconhillgolf@gmail.com,,,https://www.google.com/maps/place/?q=place_id:ChIJrbN3LSChJIgRHv19G3v5RYo
HIGH,Rattle Run Golf Course,,St. Clair,48054,http://www.rattlerun.com/,Tee It Up,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJuyuZ6Z8NJYgRPs8qMwAMw0g
HIGH,Nolan's Irish Pub,,St. Clair,48027,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJw10SmyALJYgRc481fBfgXzU
HIGH,Glenhurst Golf Course,,Wayne,48240,https://golfredford.com/,Unknown Online Booking,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJHR6597S1JIgR6e75-64nhWY
HIGH,Willow Metropark Golf Course,,Wayne,48164,https://golf.metroparks.com/willow/,Tee It Up,NO,,,Jeff.Potratz@metroparks.com,734-753-4040,,https://www.google.com/maps/place/?q=place_id:ChIJ_cxU9l1EO4gRUG7_Pf7MbCw
HIGH,University of Michigan Golf Course,Ann Arbor,Washtenaw,48104,http://umgolfcourse.umich.edu/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJvfjVlMuvPIgR43RxgKMGHVU
HIGH,Stonebridge Golf Club,Ann Arbor,Washtenaw,48108,http://stonebridge.golf/,foreUP,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJkTJkerO6PIgRwUnVaV_Hbcc
HIGH,Lake Forest Golf Club,Ann Arbor,Washtenaw,48103,https://lakeforestgc.com/,foreUP,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7SEgl3OwPIgRGEfFqSYHRi4
HIGH,Ann Arbor Golf & Outing Club,Ann Arbor,Washtenaw,48104,http://aagoc.org/,Manual / Phone Only,NO,,,,,VERIFY: membership language detected,https://www.google.com/maps/place/?q=place_id:ChIJxSGCojSuPIgRLO3u_zll-JM
HIGH,X-Golf Ann Arbor,Ann Arbor,Washtenaw,48103,http://www.xgolfannarbor.com/,Unknown Online Booking,NO,,,xgolf-logo@2x-1.png,(734) 316-7379,,https://www.google.com/maps/place/?q=place_id:ChIJ38q-TNKkPIgRmlTmDTWna_4
HIGH,Measured Golf,Ann Arbor,Washtenaw,48103,http://measuredgolf.com/,Manual / Phone Only,NO,,,micah@micahrich.com,,,https://www.google.com/maps/place/?q=place_id:ChIJRdKmz--xPIgRmgVIpDDOhuA
HIGH,Federal Golf Club,Ann Arbor,Washtenaw,48103,https://federalgolfclub.squarespace.com/,Manual / Phone Only,NO,,,user@domain.com,,VERIFY: membership language detected,https://www.google.com/maps/place/?q=place_id:ChIJvdX24saxPIgRq4j2DjtOTyo
